Question,Category,
"පහත දැක්වෙන ඡේදය කියවන්න.
මා සිටුවන ලද අඹ පැළය දැන් විශාල ගසකි. නිවස අසලින් ගලා යන දොළ පහර දෙසට නැමුණු
අඹ අත්ත ගෙඩිවලින් බර වී ඇත. එම අඹ ගස මීට වසර පහකට පෙර මා පළමුවැනි ශ්‍රේණියට ඇතුළත් කළ
දිනය සිහිවීමට මා අතින් ම සිට වූ බව අම්මා කී අයුරු මට තවම මතකයි.තාත්තා ගෙනැවිත් දුන් ඒ කුඩා අඹ
පැළය සිටුවා,අම්මා,තාත්තා,අක්කා සහ මා විසින් එය ආදරයෙන් රැක බලා ගනු ලැබුවේ පවුලේ ම දරුවකු
සේ ය. ගසේ මුලින් ම සෑදුණු ගෙඩි කිහිපය මගේපන්තියේ ගුරුතුමිය ඇතුළු යහළුවන්ට බෙදා දුන්නේ ඉමහත්
සතුටිනි. සියලු දෙනා ම ඒවා ප්‍රීතියෙන්භුක්තිවින්දෝ ය. “අමල් මෙන් ම පන්තියේඅනෙක් සියලු දෙනාමත්
පැළ සිටුවීම සහ රැක බලා ගැනීම ඉතා වැදගත් ” යැයි පවසමින් ගුරුතුමිය මගේ ක්‍රියාව අගය කළා ය.
• ජේදය ඇසුරෙන් පිළිතුරු සපයන්න.
(1) අඹ පැළය සිටුවන ලද්දේ කවුරුන් විසින් ද?
(2) අඹ පැළය සිටුවන ලද්දේ කුමක් සිහිවීම සඳහා ද?
(3) අඹ පැළය රැක බලා ගත්තේ කවුරුන් ද?
(4) ගෙඩිවලින් බර වී ඇති අඹ අත්ත පිළිබඳ ව මෙහි විස්තර කරඇත්තේ කෙසේ ද?
(5) ගුරුතුමිය පැවසූ පරිදි ඉතා වැදගත්වන්නේ කුමක් ද?
(6) ‘සතුටින්’ යන්නට අර්ථයෙන් සමාන පදයක් මෙම ඡේදයේ සඳහන් වී ඇත. එම පදය කුමක් ද?
",Sinhala language comprehension,
" පහත සඳහන් එක් එක් වගන්තියෙහි උක්ත ආඛ්‍යාත සම්බන්ධය නිවැරදි නම් ‘V' ලකුණ ද වැරදි නම්
‘x’ ලකුණ ද ඉදිරියේ ඇති වරහන තුළ යොදන්න.
(1) මම කෑමට පෙර අත් සෝදමි. 
(2) සමන් කෞතුකාගාරය නැරඹීමට යති. 
(3) අක්කා ජන කවියක් තාලයට ගායනා කරයි. 
(4) මෙවර පැවැත්වූ චිත්‍ර තරගයෙන් ඔහු ප්‍රථම ස්ථානය දිනා ගත්තා ය. 
(5) වනාන්තර එළිපෙහෙළි කර වර්ෂාව එන තෙක් හේන් ගොවියෝ බලා සිටිති.",Sinhala grammar comprehension,
" ඒකවචන, අතීත කාල ක්‍රියා පදය තෝරා යටින් ඉරක් අඳින්න.
(1) ගලයි 
(2) තිබුණි 
(3) බබළති",Sinhala grammar comprehension,
"දී ඇති වචන ගළපා අර්ථවත් වාක්‍යයක් ලියන්න.
ඉඩම / පිහිටි / අපේ / බහුල ය / නිවස / විසිතුරු / ගස්වැල්වලින්
",Sinhala language comprehension,
"පහත එක් එක් ප්‍රශ්නයෙහි නිවැරදි අක්ෂර සහිත වචනය තෝරා යටින් ඉරක් අඳින්න.
(1) (1) ඝෝසාව (2) ඝෝෂාව (3) ගෝශාව
(2) (1) නිශ්ශබ්ද (2) නිබ්ද (3) නිශ්ශබ්ධ",Sinhala grammar comprehension - NO,
"පහත සඳහන් වාක්‍ය වර්තමාන කාලයට හරවා ලියන්න.
ගෙවිලියෝ උදෑසන ම කුඹුරට ඇඹුල ගෙන ගියෝ ය.
",Sinhala grammar comprehension,
" 'ආරම්භය’ යන්නට විරුද්ධ පදයක් ලියන්න.
",Sinhala language comprehension,
" පහත සඳහන් අවස්ථාවට ගැළපෙන ප්‍රස්ථාව පිරුළ තිත් ඉර මත ලියන්න.
යමක් කිරිමට උත්සාහ කර එය කර ගත නොහැකි විට එහි අගුණ කීම.

",Sinhala language comprehension,
" පහත දී ඇති වචන නිවැරදි ව ගළපා අර්ථවත් වැකියක් බැගින් ලියන්න.
(1) the/is/pencil/My/table/on:
(2) my/play /I/ friends/ with:  
",English language and grammar comprehension,
" එක් එක් ඉංග්‍රීසි වචනයෙහි අර්ථය සිංහලෙත් ලියන්න.
(1) Sugar : (2) Rainbow :",English language and grammar comprehension,
" ‘තාමරෙයිපූ (HTWගාJÚ)' යන දෙමළ වචනය සඳහා යෙදෙන සිංහල වචනය ලියන්න.
",Tamil language and grammar comprehension,
" පහත සඳහන් වාක්‍යය දෙමළෙන් කියන ආකාරය සිංහලෙන් ලියන්න.
මට බෝලයක් දෙන්න : ",Tamil language and grammar comprehension,
"භාජනයක ජලය 5150 ml ක් ඇත. එහි ඇති ජල ප්‍රමාණය ලීටර් සහ මිලිලීටවලින් ලියන්න.
",Mathematics,
"රුපියල් 15යි සත 50කට පෑනක් සහ එකක් රුපියල් 75 බැගින් අභ්‍යාස පොත් දෙකක් මිලදී ගත්විට
ගෙවිය යුතු මුළු මුදල කීය ද?
",Mathematics,
"සුළඟ මගින්ව්‍යාප්ත වන බීජයකට නිදසුනක්වන්නේ කුමක් ද?
(1) කජු 
(2) පොල් 
(3) වරා",Environment,
" දෛනික ආහාර වේල් අතරින් පුද්ගලයකුට වඩාත් වැදගත් වන ආහාර වේල කුමක් ද?
(1) උදෑසන ආහාර වේල 
(2) දහවල් ආහාර වේල
( 3) රාත්‍රී ආහාර වේල",Common knowledge and logic reasoning,
" අභ්‍යවකාශ ගතකරන චන්ද්‍රිකා භාවිත කරමින් පණිවිඩ හුවමාරු ක්‍රමයක් නිර්මාණය කළ හැකි බව
ප්‍රකාශ කරඇත්තේ කවුරුන් විසින් ද?
(1 ) ආචාර්ය ආනන්ද කුමාරස්වාමි මහතා
(2) ආතර් සී. ක්ලාක් මහතා
(3) හෙන්රි ස්ටීල් ඕල්කට් තුමා",Common knowledge and logic reasoning,
" තම පදිංචිය පිළිබඳ සහතිකයක් ලබා ගැනීම සඳහා හමුවිය යුතු නිලධාරියා කවුද?
(1) විදුහල්පති 
(2) ග්‍රාම නිලධාරි 
(3) සමෘද්ධි නිලධාරි",Common knowledge and logic reasoning,
"පුද්ගලයකු ගමන් කිරීමේ දී නිවැරදි ව පාදය තැබිය යුතු ආකාරය වන්නේ පිළිවෙළින්
(1) විලුඹ, පතුල, ඇඟිලි තුඩු ලෙසයි. 
(2) ඇඟිලි තුඩු, පතුල, විලුඹ ලෙසයි. 
(3) විලුඹ, ඇඟිලි තුඩු, පතුල ලෙසයි.",,
"පැණි රස ආහාර සහ පිෂ්ඨය සහිත ආහාර අධික ලෙස ගැනීමෙන් වැළකියයුත්තේ පහත කුමන රෝගී
තත්ත්වයකින් පෙළෙන කෙනෙකු ද? 
(1) දිය වැඩියාව 
(2) අම්ල පිත්ත රෝගය 
(3) අධික රුධිර පීඩනය",Environment,
" වැරදි අනුකරණවලින් යුතු භාණ්ඩ විකුණනු ලබන්නේ නම් ඒ පිළිබඳ ව පැමිණිලි කළ යුතු ආයතනය
කුමක් ද?
(1) කෘෂිකර්ම සේවා උපදේශක කායාලය 
(2) ප්‍රාදේශීය ලේකම් කායාලය
(3) පාරිභෝගික ආරක්ෂණ අධිකාරිය",Common knowledge and logic reasoning,
"දෙහි කල්තබා ගැනීම සඳහා පැරැන්නන් බහුලව භාවිත කළ ක්‍රමයක්වන්නේ,
(1) තැම්බීමයි. 
(2) වැලි යට දැමීමයි. 
(3) දුම් ගැස්සවීමයි.",Environment,
" තිරස්ව එල්ලා ඇති දණ්ඩ චුම්බකයක් නිශ්චලව තිබෙන විට යොමුවන දිශා මොනවා ද?
(1) උතුර - දකුණ 
(2) ඊසාන - නිරිත 
(3) නැගෙනහිර - බස්නාහිර",Environment,
"අයිස් කැටයක් පිරිසිදු ඇල් ජලය සහිත බඳුනකට දැමූවිට අයිස් කැටයට සිදුවන්නේ කුමක් ද?
(1) ප්‍රමාණයෙන් විශාල වේ 
(2) ජලයේ පාවෙයි 
(3) වෙනසක් සිදු නොවේ",Environment,
" ජාත්‍යන්තර ගුවන් තොටුපොළවල් දෙකක් සඳහන් පිළිතුර කුමක් ද?
(1) කටුනායක සහ රත්මලාන
(2) කටුනායක සහ මත්තල
(3) මත්තල සහ පලාලි|",Common knowledge and logic reasoning,
" ශ්‍රීලංකාවේ පොදු ස්ථානවල ඇති වැසිකිලි පිරිමි, ගැහැනු ලෙස වෙන් කරදැක්වීමට වඩාත් උචිත කුමන
ආකාරය ද?
(1) සම්මත සංකේත මගින්දැක්වීම
(2) සිංහල හා දෙමළ භාෂාවලින් දැක්වීම
(3) සිංහල, දෙමළ හා ඉංග්‍රීසි භාෂාවලින්දැක්වීම ",Common knowledge and logic reasoning,
" කොවිඩ් 19(කොරෝනා) රෝගය ඇති කරනු ලබන්නේ,
(1) බැක්ටීරියාවක් මගිනි. 
(2) වෛරසයක් මගිනි. 
(3) දිලීරයක් මගිනි.",Common knowledge and logic reasoning,
"‘මයිනහම' භාවිත කරනු ලබන්නේ, 
(1) වඩු කර්මාන්තයේ දී ය. 
(2) පතල් කර්මාන්තයේ දී ය. 
(3) කම්මල් කමාන්තයේ දී ය.",Common knowledge and logic reasoning,
" සිතියමක දක්වා ඇති +සලකුණ මගින්සංකේතවත්වන්නේ, 
(1) මහා මාර්ගයයි. 
(2) දුම්රිය මාර්ගයයි. 
(3) අධිවේගී මාර්ගයයි.",Environment,
" ආහාර ද්‍රව්‍ය මිලදී ගැනීමේදී සැලකිලිමත් විය යුතු කරුණක්වන්නේ කුමක් ද?
(1) ඒවා පිළිබඳ ආකර්ශනීය වෙළඳ දැන්වීම් තිබීම
(2) ඒවා විසිතුරු ඇසුරුම් සහිත වීම 
(3) ඒවායේ නිෂ්පාදිත හා කල් ඉකුත්වීමේ දින සඳහන් වීම",Common knowledge and logic reasoning,
" ගෙවතු වගාවේදී සාම්ප්‍රදායික ක්‍රම භාවිතය තුළින් සිදුවන්නේ මින් කුමක් ද?
(1) වස විෂවලින් තොරව ඵලදාවක් ලැබීම 
(2) පස නිසරු වීම
(3) ජලය දූෂණය වීම",Environment,
" බරවා රෝගය බෝවන්නේ,
(1) රෝගවාහක මැස්සකු මගිනි.
(2) රෝගවාහක මදුරුවකු මගිනි.
(3) රෝගවාහක පුද්ගලයකු මගිනි.",Environment,
"අකුණු අනතුරුවලින් වැළකී සිටීමට වඩාත් සුදුසු වන්නේ,
(1) එළිමහන් ස්ථානයක රැඳී සිටීමයි.
(2) ජලාශයක ස්නානය කිරිමයි.
(3) ගොඩනැගිල්ලක් තුළ රැඳී සිටීමයි.",Environment,
" කණ්ඩායමක් ලෙස කටයුතු කිරිමේ දී වඩාත් ම සුදුසු වන්නේ,
(1) අන් අයගේ අදහස්වලට ඇහුම්කන් දී සැමවිට ම ඒවාට එකඟ වීමයි.
(2) සැමවිට ම තම අදහස් ඉස්මතු කිරිමට උත්සහ කිරිමයි.
(3) අන් අයගේ අදහස්වලට ඇහුම්කන් දෙමින් තම අදහස් ප්‍රකාශ කිරීමයි.",Common knowledge and logic reasoning,
"කෙසෙල් කොළයක් භාවිත කර බත් පාර්සලයක් සකස් කර ගැනීමේදී කළ යුතුවන්නේ කුමක් ද?
(1) කෙසෙල් කොළය සෝදා වේලා ගැනීම 
(2) කෙසෙල් කොළය මතුපිටින් පොලිතින් කොළයක් එළීම
(3) කෙසෙල් කොළය සෝදා මද ගින්දරේ රත්කර ගැනීම",Common knowledge and logic reasoning,
" ශරීරයට උණුවතුර වැටී පිලිස්සුණු අවස්ථාවකදී වහා ම කළයුතේ,
(1) පිලිස්සුණු ස්ථානයේ ආලේපයක් ගැල්වීමයි. 
(2) පිලිස්සුණු ස්ථානයට ගලා යන සේ ජලය දැමීමයි. 
(3) පිලිස්සුණු ස්ථානය රෙදිකඩකින් ගැට ගැසීමයි.",Common knowledge and logic reasoning,
"ශ්‍රී ලංකාවේ ජාතිකවෘක්ෂය සහ ජානික පක්ෂියා පිළිවෙළින් සඳහන් පිළිතුර තෝරන්න.
(1) නා සහ වලිකුකුළා
(2) නා සහ කැහිබෙල්ලා
(3) මානෙල් සහ වලිකුකුළා
",Common knowledge and logic reasoning,
"ලේන්සුවක වාටි මැසීමට වඩාත් සුදුසු මැහුම් ක‍්‍රමයවන්නේ,
(1) දම්වැල් මැස්මයි. 
(2)බ්ලැන්කට් මැස්මයි. 
(3) නැටි මැස්මයි.",Common knowledge and logic reasoning,
"හදිසි රෝගී තත්ත්වයකදී ගිලන්රථයක් ගෙන්වා ගැනීමට රජය විසින් හඳුන්වා දී ඇති සුවසැරිය සේවයේ
දුරකථන අංකය කුමක් ද?
(1) 1090 
(2) 1909 
(3) 1990",Common knowledge and logic reasoning,
"මිතුරන් සමග උදෑසනින් ම පාසල් යාමට පැමිණෙන ඔබ පාර හරහා ගසක් වැටී තිබෙන අයුරු දකියි.
අහල පහල වෙනත් කිසිවෙක් ද නැත. ඔබගේ අධිෂ්ඨානය කෙසේ හෝ පාසල් යාමයි. ඉන් පසුව ඔබ
සිදුකරන්නේ කුමක් ද යන්න මාතෘකාව කර ගනිමින් වාක්‍ය තුනක් ලියන්න.
(සෑම වාක්‍යයක් ම වචන පහකට නොඅඩුවිය යුතු ය. උක්ත ආඛ්‍යාත සම්බන්ධය හා අක්ෂර වින්‍යාසය
නිවැරදි විය යුතු ය.)
",Sinhala language comprehension,
"පහත කවියෙහි හිස්තැන් සඳහා වඩාත් ම සුදුසු වචන පිළිවෙළින් ඇතුළත් පිළිතුර කුමක් ද?
වත්තේ ඇවිදලා ලී කෝටු සොයාලා - ......... කොනක ලී කණු සිටුවාලා
රෙද්දක් ඇදලා වහලයක් .........  - අපේම - ......... ගෙයක් තනාලා
(1) කිහිප තියාලා ලස්සන
(2) හතර සදාලා සෙල්ලම්
(3) කිහිප ගෙනැල්ලා සෙල්ලම්",Sinhala language comprehension,
"ගමන් බිමන් යන විට මම යන්නේ
අවදිවෙලයි සේවය සලසන්නේ
අව්ව වැස්ස හොඳ හැටි හඳුනන්නේ
මා ගැන නොදන්න අයෙක් නොවන්නේ
මෙම කවියේ අදහස වඩාත් හොඳින් ගැළපියහැක්කේ.
(1) කුඩයට ය. 
(2) තොප්පියට ය. 
(3) කබායට ය.",Sinhala language comprehension,
"පහත වාක්‍යයේහිස්තැන් දෙත සම්පූර්ණ කිරිම සඳහා වඩාත් ම සුදුසු වචන යුගලය කුමක් ද?
පොත් අපේ නෙත් වගේ වන අතර ඒවා .................. කර ගනිමින්,
කියවීමේ .................. වැඩිදියුණු කර ගනිමු.
(1) පිරිසිදු, හැකියාව
(2) ආරක්ෂා, පුරුද්ද 
(3) ප්‍රවේශම්, රටාව",Sinhala language comprehension,
"එක්තරා මාසයක පළමුවැනිදා සඳුදාවකි; අවසාන දවස බදාදාවකි. එම මාසයට දින කීයක් තිබේ ද?
1.28 
2.30 
3.31",Mathematics,
" ඔරලෝසුවක වේලාව පෙ.ව. 4.30 යි. එතැන් සිට මිනිත්තු කටුව, හය වාරයක් පැය කටුව පසුකර ගොස්
12 දෙසට යොමු වී තිබෙන විට එම ඔරලෝසුවේ වේලාව කීය ද?
(1) පෙ.ව. 10.00 
(2) පෙ.ව. 11.00 
(3) මධ්‍යාග්න 12.00",Mathematics,
" අත් ඔරලෝසුවක් එහි මුහුණත උඩු අතට සිටින සේ මේසයක් මත තිරස්ව තබා ඇත. වේලාව ප.ව. 3.00
එහි පැය කටුව උතුරු දිශාවට යොමු වී තිබුණි. ප.ව. 3.45 වන විට එම ඔරලෝසුවේ මිනිත්තු කටුව
යොමු වී ඇති දිශාව කුමක් ද?
(1) දකුණ 
(2) බස්නාහිර 
(3 ) නැගෙනහිර",Mathematics,
"රැස්වීම් ශාලාවක ඇති ආසන 301 සිට 500 තෙක් අංක කර ඇත. ඒවා අතුරෙන් 3 සහ 5 ඉලක්කම්
එක ළඟ යෙදෙන අංක සහිත ආසන කීයක් තිබේ ද?
(1) 11 
(2) 12 
(3) 13",Mathematics,
"
පෝලිමක සුනිල් සහ නිමල් අතර පස්දෙනෙක් ද නිමල් සහ කමල් අතර අටදෙනෙක් ද සිටිති. 
සුනිල් සහ කමල් අතර සිටිය හැකි ළමයින්  සංඛ්‍යාවක් නොවන්නේ,
(1) 2 ය. 
(2) 13 ය. 
(3) 14 ය.",Mathematics,
"ළමයින් සමූහයක් තිදෙනා බැගින් කණ්ඩායම් වූ විට එක් අයකු ද හතරදෙනා බැගින් කණ්ඩායම් වූ විට
දෙදෙනතු දපස්දෙනා බැගින්කණ්ඩායම් වූ විට හතරදෙනකු ද ඉතුරු විය. මෙම සමූහය සමන්විත විය
හැක්කේ ළමයින් කී දෙනකුගෙන් ද?
(1) 54 
(2) 64 
(3) 94",Mathematics,
"ආච්චි සීයටයි දුවලා 4 දෙනෙක් සිටිති. ඒ හතරදෙනාම විවාහ වී ඇත. එම පවුල් හතරෙහිම දරුවෝ
හතරදෙනා බැගින් සිටිති. ඔවුහු සියල්ලෝම ජීවතුන් අතර සිටිති. එසේ නම් මෙම කණ්ඩායමේ කී දෙනෙක්
සිටිත් ද?
(1) 21 
(2) 22 
(3) 26 ",Mathematics,
" “අපට ආහාර නොමැතිව වැඩි කාලයක් සිටිය හැකි වුව ද ජලය නොමැතිව සිටිය හැකි කාලය ඉතා 
කෙටි ය. ශරීරයේ ජලය ප්‍රමාණය අඩුවීමෙන් විවිධ රෝගාබාධවලට ගොදුරුවීමට සිදුවේ. දිනකට අවශ්‍ය 
ජලය ප්‍රමාණය නියමිත පරිදි පානය කිරිමෙන් ශරීරයේ ක්‍රියාකාරිත්වය නිසියාකාරව පවත්වා ගත හැකි ය.""
ඉහත ප්‍රකාශයේ සමස්ත අදහස වන්නේ,
(1) ආහාරයට වඩා ජලය වැදගත් වන බවයි.
(2) රෝගාබාධවලින් මිදීමට ජලය අවශ්‍ය වන බවයි.
(3) ජලය පානය කිරිම අත්‍යවශ්‍ය වන බවයි.",Common knowledge and logic reasoning,
"අවසාන ප්‍රතිඵලයට හේතුවක් සඳහන් නොවන වාක්‍යය කුමක් ද?
(1) සචිනි උදෙන්ම අවදි වී සූදානම් වී පාසලට යාමට පිටත් විය.
(2) රුවනි විභාගයෙන් සමත් වූයේ හොඳින් පාඩම් කළ නිසා ය.
(3) බසය නොපැමිණි බැවින් කමනිට පා ගමනින් වෙළඳපොළට යාමට සිදු විය.",Sinhala language comprehension,
" පසුම්බියක මුදල් නෝට්ටු 8 ක් ඇත. ඒවා රුපියල් 20, රුපියල් 50 හා රුපියල් 100 වටිනාකම්වලට 
අයත් වේ. රුපියල් 50 හා රුපියල් 100 නෝට්ටු ගණන සමාන වේ. පසුම්බියේ තිබිය හැකි වැඩ්මම මුදල 
කීය ද?
(1) රු. 270 
(2) රු. 490 
(3) රු. 600",Mathematics,
"
හිස්වැසුම් තුනක් අතුරෙන් එකක් කළු පාට ය. එකක් සුදු පාට ය. එකක් රතු පාට ය. ගීතාට කළු පාට 
හිස්වසුමම තොලැඛෙත පටදි මෙම හිස්වසුම් තුන ගීතා, අමර සහ සමන් අතර බෙදා දිය හැකි එතිනෙකට 
වෙනස් අකාර තීයක් තිබේ ද?
(1) 2 (2) 4 (3) 6",Mathematics,
"එක්තරා නගරයක පාසලේ සිට රෝහලට යෑමට අවශ්‍ය උපදෙස් පහත පරිදි වේ. 
ප්‍රධාන වමටදොරටුවෙන් හැරි පිටතට පැමිණ දතුණට හැරි මීටර 100 ක් යන විට හමුවන මංසන්ධියෙන් මීටර 150 ක් යන විට දකුණු පසින් රෝහලේ ප්‍රධාන දොරටුව හමුවෙයි.
ඒ අනුව රෝහලේ ගැළපෙන සිට පාසලට පැමිණීමට අවශ්‍ය උපදෙස් නිවැරදිව ලබාදීම සඳහා පහත වැකියෙහි 
හිස්තැන්වලට ගැළපෙන තොරතුරු පිළිවෙළින් සඳහන් පිළිතුර කුමක් ද?
ප්‍රධාන දොරටුවෙන් පිටතට පැමිණ ......... හැරි මීටර 150 ක් යන විට හමුවන මංසන්ධියෙන් .........   
  හැරි මීටර 100 ක් යන  විට ........... පාසලේ ප්‍රධාන දොරටුව හමුවෙයි.
(1) වමට, දකුණට, වම්පසින්
(2) වමට, දකුණට, දකුණු පසින්
(3) දකුණට, වමට, වම්පසින්




",Sinhala language comprehension,
